player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Willi Orban,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,10
Daniel Heuer Fernandes,Hamburger SV,0,0,0,0.0,0.0,0.0,10
Gregor Kobel,Borussia Dortmund,0,0,0,0.0,0.0,0.0,10
Salih Özcan,Borussia Dortmund,0,0,0,0.0,0.0,0.0,3
Arne Maier,Augsburg,0,0,0,0.0,0.0,0.0,1
Marco Friedl,Werder Bremen,0,0,0,0.0,0.0,0.0,9
Jonas Meffert,Hamburger SV,0,0,0,0.0,0.0,0.0,3
Lukas Klostermann,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,3
Arnaud Nordin,Mainz 05,0,0,0,0.0,0.0,0.0,8
Alexis Claude Maurice,Augsburg,0,0,0,0.0,0.0,0.0,7
Dan-Axel Zagadou,VfB Stuttgart,0,0,0,0.0,0.0,0.0,2
Ihlas Bebou,Hoffenheim,0,0,0,0.0,0.0,0.0,6
Moritz Nicolas,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,10
Kevin Akpoguma,Hoffenheim,0,0,0,0.0,0.0,0.0,2
Robin Hack,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,3
Anthony Caci,Mainz 05,0,0,0,0.0,0.0,0.0,4
Timo Hübers,FC Cologne,0,0,0,0.0,0.0,0.0,8
Niklas Dorsch,FC Heidenheim,0,0,0,0.0,0.0,0.0,9
Nikolas Nartey,VfB Stuttgart,0,0,0,0.0,0.0,0.0,8
Elvis Rexhbecaj,Augsburg,0,0,0,0.0,0.0,0.0,9
Lucas Höler,Freiburg,0,0,0,0.0,0.0,0.0,9
Finn Dahmen,Augsburg,0,0,0,0.0,0.0,0.0,10
Linton Maina,FC Cologne,0,0,0,0.0,0.0,0.0,6
Mark Flekken,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,10
Frederik Rönnow,Union Berlin,0,0,0,0.0,0.0,0.0,10
Kevin Stöger,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,8
Philipp Mwene,Mainz 05,0,0,0,0.0,0.0,0.0,10
Woo-Yeong Jeong,Union Berlin,0,0,0,0.0,0.0,0.0,8
Amos Pieper,Werder Bremen,0,0,0,0.0,0.0,0.0,4
Ozan Kabak,Hoffenheim,0,0,0,0.0,0.0,0.0,4
Keven Schlotterbeck,Augsburg,0,0,0,0.0,0.0,0.0,6
Andras Schafer,Union Berlin,0,0,0,0.0,0.0,0.0,7
Sacha Boey,Bayern Munich,0,0,0,0.0,0.0,0.0,9
Xaver Schlager,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,6
Robert Skov,Union Berlin,0,0,0,0.0,0.0,0.0,3
Robert Andrich,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,9
Julian Chabot,VfB Stuttgart,0,0,0,0.0,0.0,0.0,8
Alex Kral,Union Berlin,0,0,0,0.0,0.0,0.0,6
Tom Krauß,FC Cologne,0,0,0,0.0,0.0,0.0,7
Nick Woltemade,VfB Stuttgart,0,0,0,0.0,0.0,0.0,1
Giovanni Reyna,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,6
Exequiel Palacios,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,2
Immanuel Pherai,Hamburger SV,0,0,0,0.0,0.0,0.0,3
Loic Bade,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,9
Xavi Simons,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,1
Felix Agu,Werder Bremen,0,0,0,0.0,0.0,0.0,6
Rocco Reitz,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,10
Tim Siersleben,FC Heidenheim,0,0,0,0.0,0.0,0.0,8
Atakan Karazor,VfB Stuttgart,0,0,0,0.0,0.0,0.0,9
Lorenz Assignon,VfB Stuttgart,0,0,0,0.0,0.0,0.0,7
Cenk Özkacar,FC Cologne,0,0,0,0.0,0.0,0.0,5
Eren Sami Dinkci,Freiburg,0,0,0,0.0,0.0,0.0,7
Robert Glatzel,Hamburger SV,0,0,0,0.0,0.0,0.0,7
Warmed Omari,Hamburger SV,0,0,0,0.0,0.0,0.0,5
William Mikelbrencis,Hamburger SV,0,0,0,0.0,0.0,0.0,10
El Chadaille Bitshiabu,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,2
Karl Hein,Werder Bremen,0,0,0,0.0,0.0,0.0,2
Maxim Leitsch,Mainz 05,0,0,0,0.0,0.0,0.0,2
Patrick Osterhage,Freiburg,0,0,0,0.0,0.0,0.0,5
Guilherme Ramos,Hamburger SV,0,0,0,0.0,0.0,0.0,4
Jesper Lindstrom,Wolfsburg,0,0,0,0.0,0.0,0.0,1
Diant Ramaj,FC Heidenheim,0,0,0,0.0,0.0,0.0,10
Ismaël Gharbi,Augsburg,0,0,0,0.0,0.0,0.0,3
Ben Bobzien,Mainz 05,0,0,0,0.0,0.0,0.0,1
Jonas Urbig,Bayern Munich,0,0,0,0.0,0.0,0.0,1
Piero Hincapié,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,1
Moritz Jenz,Wolfsburg,0,0,0,0.0,0.0,0.0,8
Arthur Theate,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,10
Lennard Maloney,Mainz 05,0,0,0,0.0,0.0,0.0,5
Noah Atubolu,Freiburg,0,0,0,0.0,0.0,0.0,10
Anton Kade,Augsburg,0,0,0,0.0,0.0,0.0,6
Jeanuël Belocian,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,4
Jonas Wind,Wolfsburg,0,0,0,0.0,0.0,0.0,7
Lasse Rieß,Mainz 05,0,0,0,0.0,0.0,0.0,3
Umut Tohumcu,Hoffenheim,0,0,0,0.0,0.0,0.0,4
Diogo Leite,Union Berlin,0,0,0,0.0,0.0,0.0,7
Muhammed Damar,Hoffenheim,0,0,0,0.0,0.0,0.0,7
Ben Seghir,Bayer Leverkusen,0,0,0,0.0,0.0,0.0,6
Loïs Openda,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,2
Vinicius Souza,Wolfsburg,0,0,0,0.0,0.0,0.0,10
Tim Skarke,Union Berlin,0,0,0,0.0,0.0,0.0,9
Kilian Fischer,Wolfsburg,0,0,0,0.0,0.0,0.0,7
Badredine Bouanani,VfB Stuttgart,0,0,0,0.0,0.0,0.0,7
Fabio Chiarodia,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,5
Denis Huseinbasic,FC Cologne,0,0,0,0.0,0.0,0.0,8
Nelson Weiper,Mainz 05,0,0,0,0.0,0.0,0.0,9
Dzenan Pejcinovic,Wolfsburg,0,0,0,0.0,0.0,0.0,8
Aljoscha Kemlein,Union Berlin,0,0,0,0.0,0.0,0.0,8
Aurélio Buta,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,3
Merlin Röhl,Freiburg,0,0,0,0.0,0.0,0.0,2
Josip Juranovic,Union Berlin,0,0,0,0.0,0.0,0.0,2
Ameen Al Dakhil,VfB Stuttgart,0,0,0,0.0,0.0,0.0,3
Senne Lynen,Werder Bremen,0,0,0,0.0,0.0,0.0,9
Cédric Zesiger,Augsburg,0,0,0,0.0,0.0,0.0,6
Václav Cerny,Wolfsburg,0,0,0,0.0,0.0,0.0,2
Adrian Beck,FC Heidenheim,0,0,0,0.0,0.0,0.0,9
Marvin Pieringer,FC Heidenheim,0,0,0,0.0,0.0,0.0,4
Benedikt Gimber,FC Heidenheim,0,0,0,0.0,0.0,0.0,7
Jan Schöppner,FC Heidenheim,0,0,0,0.0,0.0,0.0,9
Nicolas Seiwald,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,10
Leart Paqarada,FC Heidenheim,0,0,0,0.0,0.0,0.0,1
Mathias Honsak,FC Heidenheim,0,0,0,0.0,0.0,0.0,7
Jan-Niklas Beste,Freiburg,0,0,0,0.0,0.0,0.0,7
Lukas Ullrich,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,10
Skelly Alvero,Werder Bremen,0,0,0,0.0,0.0,0.0,2
Jordy Makengo,Freiburg,0,0,0,0.0,0.0,0.0,8
Kauã Santos,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,4
Julián Malatini,Werder Bremen,0,0,0,0.0,0.0,0.0,2
Isak Hansen-Aaröen,Werder Bremen,0,0,0,0.0,0.0,0.0,1
Max Moerstedt,Hoffenheim,0,0,0,0.0,0.0,0.0,6
Max Rosenfelder,Freiburg,0,0,0,0.0,0.0,0.0,4
Kosta Nedeljkovic,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,2
Nikolas Veratschnig,Mainz 05,0,0,0,0.0,0.0,0.0,8
Leopold Querfeld,Union Berlin,0,0,0,0.0,0.0,0.0,10
Mio Backhaus,Werder Bremen,0,0,0,0.0,0.0,0.0,8
Ramon Hendriks,VfB Stuttgart,0,0,0,0.0,0.0,0.0,8
Alexander Prass,Hoffenheim,0,0,0,0.0,0.0,0.0,10
Oscar Højlund,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,7
Aurèle Amenda,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,3
Kamil Grabara,Wolfsburg,0,0,0,0.0,0.0,0.0,10
Bence Dárdai,Wolfsburg,0,0,0,0.0,0.0,0.0,1
Nikola Vasilj,St. Pauli,0,0,0,0.0,0.0,0.0,10
Karol Mets,St. Pauli,0,0,0,0.0,0.0,0.0,4
Philipp Treu,Freiburg,0,0,0,0.0,0.0,0.0,7
Lars Ritzka,St. Pauli,0,0,0,0.0,0.0,0.0,6
Jackson Irvine,St. Pauli,0,0,0,0.0,0.0,0.0,3
Elias Saad,Augsburg,0,0,0,0.0,0.0,0.0,9
Oladapo Afolayan,St. Pauli,0,0,0,0.0,0.0,0.0,7
Luca Kerber,FC Heidenheim,0,0,0,0.0,0.0,0.0,6
Robin Hranác,Hoffenheim,0,0,0,0.0,0.0,0.0,10
Filippo Mané,Borussia Dortmund,0,0,0,0.0,0.0,0.0,2
Konstantinos Koulierakis,Wolfsburg,0,0,0,0.0,0.0,0.0,9
Derrick Köhn,Union Berlin,0,0,0,0.0,0.0,0.0,10
Arthur Chaves,Hoffenheim,0,0,0,0.0,0.0,0.0,4
