player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Gianluca Mancini,Roma,4,1,5,7.7,6.2,1.5,36,2324
Roberto Gagliardini,Monza,1,2,3,7.7,2.6,5.1,33,2324
Georgios Kyriakopoulos,Monza,0,3,3,7.7,0.0,7.7,28,2324
Federico Gatti,Juventus,4,0,4,7.4,7.4,0.0,32,2324
Oussama El Azzouzi,Bologna,2,2,4,7.4,3.7,3.7,18,2324
Filip Kostic,Juventus,0,4,4,7.4,0.0,7.4,29,2324
Gaetano Oristanio,Cagliari,2,1,3,7.1,4.8,2.4,25,2324
Jakub Jankto,Cagliari,1,2,3,7.1,2.4,4.8,18,2324
Gregoire Defrel,Sassuolo,1,2,3,7.0,2.3,4.7,20,2324
Matias Viña,Sassuolo,0,3,3,7.0,0.0,7.0,15,2324
Sebastiano Luperto,Empoli,1,1,2,6.9,3.4,3.4,38,2324
Nicolò Cambiaghi,Empoli,1,1,2,6.9,3.4,3.4,37,2324
Jacopo Fazzini,Empoli,1,1,2,6.9,3.4,3.4,31,2324
Marten de Roon,Atalanta,0,5,5,6.9,0.0,6.9,30,2324
Kaio Jorge,Frosinone,3,0,3,6.8,6.8,0.0,20,2324
Pol Lirola,Frosinone,2,1,3,6.8,4.5,2.3,25,2324
Radu Dragusin,Genoa,2,1,3,6.7,4.4,2.2,19,2324
Jonathan Ikone,Fiorentina,3,1,4,6.6,4.9,1.6,28,2324
Alessandro Florenzi,AC Milan,1,4,5,6.6,1.3,5.3,31,2324
Houssem Aouar,Roma,4,0,4,6.2,6.2,0.0,16,2324
Patrick Dorgu,Lecce,2,0,2,6.2,6.2,0.0,32,2324
Joan Gonzàlez,Lecce,1,1,2,6.2,3.1,3.1,29,2324
Chukwubuikem Ikwuemesi,Salernitana,1,1,2,6.2,3.1,3.1,25,2324
Alexis Blin,Lecce,0,2,2,6.2,0.0,6.2,31,2324
Santiago Pierotti,Lecce,0,2,2,6.2,0.0,6.2,11,2324
Bremer,Juventus,3,0,3,5.6,5.6,0.0,36,2324
Nicolò Barella,Inter,2,3,5,5.6,2.2,3.4,37,2324
Charalampos Lykogiannis,Bologna,2,1,3,5.6,3.7,1.9,22,2324
Pietro Pellegri,Torino,1,1,2,5.6,2.8,2.8,24,2324
Stefan Posch,Bologna,1,2,3,5.6,1.9,3.7,31,2324
Giorgio Scalvini,Atalanta,1,3,4,5.6,1.4,4.2,33,2324
Samuel Iling-Junior,Juventus,1,2,3,5.6,1.9,3.7,24,2324
Adrien Tameze,Torino,0,2,2,5.6,0.0,5.6,29,2324
Matteo Ruggeri,Atalanta,0,4,4,5.6,0.0,5.6,34,2324
Victor Kristiansen,Bologna,0,3,3,5.6,0.0,5.6,32,2324
Amir Rrahmani,Napoli,3,0,3,5.5,5.5,0.0,30,2324
Walace,Udinese,2,0,2,5.4,5.4,0.0,37,2324
Oier Zarraga,Udinese,2,0,2,5.4,5.4,0.0,15,2324
Isaac Success,Udinese,1,1,2,5.4,2.7,2.7,27,2324
Christian Kabasele,Udinese,1,1,2,5.4,2.7,2.7,13,2324
Hassane Kamara,Udinese,1,1,2,5.4,2.7,2.7,35,2324
Fikayo Tomori,AC Milan,4,0,4,5.3,5.3,0.0,26,2324
Ismael Bennacer,AC Milan,2,2,4,5.3,2.6,2.6,20,2324
Diego Coppola,Verona,2,0,2,5.3,5.3,0.0,24,2324
Karol Swiderski,Verona,2,0,2,5.3,5.3,0.0,15,2324
Davide Calabria,AC Milan,1,3,4,5.3,1.3,3.9,29,2324
Samuel Chukwueze,AC Milan,1,3,4,5.3,1.3,3.9,24,2324
Suat Serdar,Verona,0,2,2,5.3,0.0,5.3,25,2324
Jackson Tchatchoua,Verona,0,2,2,5.3,0.0,5.3,26,2324
Luca Caldirola,Monza,1,1,2,5.1,2.6,2.6,29,2324
Warren Bondo,Monza,1,1,2,5.1,2.6,2.6,25,2324
Pedro Pereira,Monza,0,2,2,5.1,0.0,5.1,23,2324
Samuele Birindelli,Monza,0,2,2,5.1,0.0,5.1,35,2324
Luca Ranieri,Fiorentina,2,1,3,4.9,3.3,1.6,26,2324
Christian Kouamé,Fiorentina,2,1,3,4.9,3.3,1.6,23,2324
Gaetano Castrovilli,Fiorentina,1,2,3,4.9,1.6,3.3,6,2324
Sulemana,Cagliari,2,0,2,4.8,4.8,0.0,21,2324
Andrea Petagna,Cagliari,1,1,2,4.8,2.4,2.4,18,2324
Tommaso Augello,Cagliari,1,1,2,4.8,2.4,2.4,32,2324
Matteo Prati,Cagliari,1,1,2,4.8,2.4,2.4,26,2324
Uros Racic,Sassuolo,1,1,2,4.7,2.3,2.3,22,2324
Marcus Pedersen,Sassuolo,0,2,2,4.7,0.0,4.7,28,2324
Sardar Azmoun,Roma,3,0,3,4.6,4.6,0.0,23,2324
Leonardo Spinazzola,Roma,1,2,3,4.6,1.5,3.1,24,2324
Evan Ndicka,Roma,0,3,3,4.6,0.0,4.6,25,2324
Francesco Acerbi,Inter,3,1,4,4.5,3.4,1.1,29,2324
Simone Romagnoli,Frosinone,1,1,2,4.5,2.3,2.3,33,2324
Alessandro Bastoni,Inter,1,3,4,4.5,1.1,3.4,28,2324
Arijon Ibrahimovic,Frosinone,1,1,2,4.5,2.3,2.3,16,2324
Mattia Bani,Genoa,2,0,2,4.4,4.4,0.0,27,2324
Vitinha,Genoa,2,0,2,4.4,4.4,0.0,9,2324
Johan Vásquez,Genoa,1,1,2,4.4,2.2,2.2,37,2324
Kevin Strootman,Genoa,0,2,2,4.4,0.0,4.4,27,2324
Davide Zappacosta,Atalanta,2,1,3,4.2,2.8,1.4,31,2324
Luis Muriel,Atalanta,2,1,3,4.2,2.8,1.4,18,2324
Patric,Lazio,2,0,2,4.1,4.1,0.0,20,2324
Pedro,Lazio,1,1,2,4.1,2.0,2.0,33,2324
Manuel Lazzari,Lazio,0,2,2,4.1,0.0,4.1,24,2324
Nicolo Rovella,Lazio,0,2,2,4.1,0.0,4.1,23,2324
Matteo Gabbia,AC Milan,2,1,3,3.9,2.6,1.3,18,2324
Yacine Adli,AC Milan,1,2,3,3.9,1.3,2.6,24,2324
Lorenzo De Silvestri,Bologna,2,0,2,3.7,3.7,0.0,15,2324
Daniele Rugani,Juventus,2,0,2,3.7,3.7,0.0,17,2324
Jens Odgaard,Bologna,2,0,2,3.7,3.7,0.0,10,2324
Kenan Yildiz,Juventus,2,0,2,3.7,3.7,0.0,27,2324
Remo Freuler,Bologna,1,1,2,3.7,1.9,1.9,32,2324
Danilo,Juventus,1,1,2,3.7,1.9,1.9,29,2324
Dan Ndoye,Bologna,1,1,2,3.7,1.9,1.9,32,2324
Fabio Miretti,Juventus,1,1,2,3.7,1.9,1.9,25,2324
Sam Beukema,Bologna,1,1,2,3.7,1.9,1.9,30,2324
