player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Benjamin Pavard,Marseille,1,1,2,7.1,3.6,3.6,9
Amine Gouiri,Marseille,1,1,2,7.1,3.6,3.6,6
Eric Junior Dina Ebimbe,Brest,1,0,1,7.1,7.1,0.0,9
Joris Chotard,Brest,1,0,1,7.1,7.1,0.0,11
Igor Silva,Lorient,1,0,1,7.1,7.1,0.0,7
Julien Le Cardinal,Brest,1,0,1,7.1,7.1,0.0,4
Igor Paixão,Marseille,1,1,2,7.1,3.6,3.6,9
Jean-Victor Makengo,Lorient,0,1,1,7.1,0.0,7.1,9
Kenny Lala,Brest,0,1,1,7.1,0.0,7.1,12
Ahmadou Bamba Dieng,Lorient,0,1,1,7.1,0.0,7.1,2
Bradley Locko,Brest,0,1,1,7.1,0.0,7.1,12
Arthur Avom,Lorient,0,1,1,7.1,0.0,7.1,12
Dermane Karim,Lorient,0,1,1,7.1,0.0,7.1,10
Melvin Bard,Nice,1,0,1,5.9,5.9,0.0,12
Kojo Peprah Oppong,Nice,1,0,1,5.9,5.9,0.0,12
Isak Jansson,Nice,1,0,1,5.9,5.9,0.0,8
Morgan Sanson,Nice,0,1,1,5.9,0.0,5.9,10
Willem Geubbels,Paris FC,1,0,1,5.6,5.6,0.0,11
Georges Mikautadze,Lyon,1,0,1,5.6,5.6,0.0,2
Tanner Tessmann,Lyon,1,0,1,5.6,5.6,0.0,12
Adam Karabec,Lyon,1,0,1,5.6,5.6,0.0,11
Samir Chergui,Paris FC,1,0,1,5.6,5.6,0.0,11
Alimami Gory,Paris FC,1,0,1,5.6,5.6,0.0,6
Adama Camara,Paris FC,1,0,1,5.6,5.6,0.0,10
Thibault De Smet,Paris FC,0,1,1,5.6,0.0,5.6,9
Martín Satriano,Lyon,0,1,1,5.6,0.0,5.6,6
Dominik Greif,Lyon,0,1,1,5.6,0.0,5.6,8
Nicolás Tagliafico,Lyon,0,1,1,5.6,0.0,5.6,10
Ruben Kluivert,Lyon,0,1,1,5.6,0.0,5.6,5
Seko Fofana,Rennes,1,0,1,5.3,5.3,0.0,10
Anthony Rouault,Rennes,1,0,1,5.3,5.3,0.0,8
Przemyslaw Frankowski,Rennes,0,1,1,5.3,0.0,5.3,8
Alidu Seidu,Rennes,0,1,1,5.3,0.0,5.3,8
Abdallah Sima,Lens,1,0,1,4.8,4.8,0.0,5
Morgan Guilavogui,Lens,1,0,1,4.8,4.8,0.0,12
Matthieu Udol,Lens,0,1,1,4.8,0.0,4.8,12
Saud Abdulhamid,Lens,0,1,1,4.8,0.0,4.8,9
Andrija Bulatovic,Lens,0,1,1,4.8,0.0,4.8,4
Nabil Bentaleb,Lille,1,0,1,4.3,4.3,0.0,10
Ngal'ayel Mukau,Lille,1,0,1,4.3,4.3,0.0,9
Ayyoub Bouaddi,Lille,0,1,1,4.3,0.0,4.3,12
Soriba Diaoune,Lille,0,1,1,4.3,0.0,4.3,1
Berke Özer,Lille,0,1,1,4.3,0.0,4.3,10
Nathan Ngoy,Lille,0,1,1,4.3,0.0,4.3,10
Eric Dier,Monaco,1,0,1,4.2,4.2,0.0,6
Mohammed Salisu,Monaco,1,0,1,4.2,4.2,0.0,7
Mika Biereth,Monaco,1,0,1,4.2,4.2,0.0,11
Illia Zabarnyi,Paris Saint Germain,1,0,1,4.2,4.2,0.0,11
Beraldo,Paris Saint Germain,1,0,1,4.2,4.2,0.0,7
Kendry Páez,Strasbourg,1,0,1,4.2,4.2,0.0,10
Denis Zakaria,Monaco,0,1,1,4.2,0.0,4.2,5
Lee Kang-In,Paris Saint Germain,0,1,1,4.2,0.0,4.2,10
Krépin Diatta,Monaco,0,1,1,4.2,0.0,4.2,7
Vanderson,Monaco,0,1,1,4.2,0.0,4.2,4
Ismaël Doukouré,Strasbourg,0,1,1,4.2,0.0,4.2,8
Samuel Amo-Ameyaw,Strasbourg,0,1,1,4.2,0.0,4.2,7
Stanis Idumbo Muzambo,Monaco,0,1,1,4.2,0.0,4.2,5
Pierre-Emile Højbjerg,Marseille,1,0,1,3.6,3.6,0.0,12
Emerson,Marseille,0,1,1,3.6,0.0,3.6,9
Timothy Weah,Marseille,0,1,1,3.6,0.0,3.6,9
Arthur Vermeeren,Marseille,0,1,1,3.6,0.0,3.6,6
Dante,Nice,0,0,0,0.0,0.0,0.0,2
Lukas Hradecky,Monaco,0,0,0,0.0,0.0,0.0,3
Ulisses García,Marseille,0,0,0,0.0,0.0,0.0,4
Francis Coquelin,Nantes,0,0,0,0.0,0.0,0.0,4
Ben Chilwell,Strasbourg,0,0,0,0.0,0.0,0.0,7
Chancel Mbemba,Lille,0,0,0,0.0,0.0,0.0,5
Assane Diousse,Auxerre,0,0,0,0.0,0.0,0.0,6
Pol Lirola,Marseille,0,0,0,0.0,0.0,0.0,3
Geoffrey Kondogbia,Marseille,0,0,0,0.0,0.0,0.0,2
Joel Asoro,Metz,0,0,0,0.0,0.0,0.0,3
Timothée Kolodziejczak,Paris FC,0,0,0,0.0,0.0,0.0,3
Gerónimo Rulli,Marseille,0,0,0,0.0,0.0,0.0,10
Lucas Hernández,Paris Saint Germain,0,0,0,0.0,0.0,0.0,7
André Gomes,Lille,0,0,0,0.0,0.0,0.0,1
Thilo Kehrer,Monaco,0,0,0,0.0,0.0,0.0,8
Aissa Mandi,Lille,0,0,0,0.0,0.0,0.0,10
Hamari Traore,Paris FC,0,0,0,0.0,0.0,0.0,5
Anthony Lopes,Nantes,0,0,0,0.0,0.0,0.0,11
Rachid Ghezzal,Lyon,0,0,0,0.0,0.0,0.0,6
Kevin Trapp,Paris FC,0,0,0,0.0,0.0,0.0,2
Benjamin Stambouli,Metz,0,0,0,0.0,0.0,0.0,8
Adrien Rabiot,Marseille,0,0,0,0.0,0.0,0.0,1
Marquinhos,Paris Saint Germain,0,0,0,0.0,0.0,0.0,5
Florian Sotoca,Lens,0,0,0,0.0,0.0,0.0,7
Pierrick Capelle,Angers,0,0,0,0.0,0.0,0.0,2
Lucas Tousart,Brest,0,0,0,0.0,0.0,0.0,5
Mathieu Cafaro,Paris FC,0,0,0,0.0,0.0,0.0,5
Brice Samba,Rennes,0,0,0,0.0,0.0,0.0,12
Laurent Abergel,Lorient,0,0,0,0.0,0.0,0.0,12
Caio Henrique,Monaco,0,0,0,0.0,0.0,0.0,10
Malang Sarr,Lens,0,0,0,0.0,0.0,0.0,11
Jonathan Ikone,Paris FC,0,0,0,0.0,0.0,0.0,5
Thomas Meunier,Lille,0,0,0,0.0,0.0,0.0,8
Karl-Johan Johnsson,Strasbourg,0,0,0,0.0,0.0,0.0,1
Abdoulaye Bamba,Angers,0,0,0,0.0,0.0,0.0,1
Hugo Magnetti,Brest,0,0,0,0.0,0.0,0.0,11
Carlens Arcus,Angers,0,0,0,0.0,0.0,0.0,12
Pierre-Yves Hamel,Paris FC,0,0,0,0.0,0.0,0.0,2
Remy Descamps,Lyon,0,0,0,0.0,0.0,0.0,4
Fode Toure,Metz,0,0,0,0.0,0.0,0.0,3
Bingourou Kamara,Lorient,0,0,0,0.0,0.0,0.0,3
Ruben Aguilar,Lens,0,0,0,0.0,0.0,0.0,12
Nicolas Cozza,Nantes,0,0,0,0.0,0.0,0.0,9
Kouakou Herve Koffi,Angers,0,0,0,0.0,0.0,0.0,12
Chidozie Awaziem,Nantes,0,0,0,0.0,0.0,0.0,12
Yvon Mvogo,Lorient,0,0,0,0.0,0.0,0.0,9
Jessy Deminguet,Metz,0,0,0,0.0,0.0,0.0,11
Elisha Owusu,Auxerre,0,0,0,0.0,0.0,0.0,12
Mahdi Camara,Rennes,0,0,0,0.0,0.0,0.0,10
Yehvann Diouf,Nice,0,0,0,0.0,0.0,0.0,12
Hamed Junior Traore,Marseille,0,0,0,0.0,0.0,0.0,1
Jonathan Gradit,Lens,0,0,0,0.0,0.0,0.0,9
Leonardo Balerdi,Marseille,0,0,0,0.0,0.0,0.0,8
Haris Belkebla,Angers,0,0,0,0.0,0.0,0.0,12
Donovan Léon,Auxerre,0,0,0,0.0,0.0,0.0,10
Brendan Chardonnet,Brest,0,0,0,0.0,0.0,0.0,10
Fabien Centonze,Nantes,0,0,0,0.0,0.0,0.0,3
Thomas Delaine,Le Havre,0,0,0,0.0,0.0,0.0,5
Uros Radakovic,Nantes,0,0,0,0.0,0.0,0.0,3
Mbwana Samatta,Le Havre,0,0,0,0.0,0.0,0.0,8
Lucas Chevalier,Paris Saint Germain,0,0,0,0.0,0.0,0.0,12
Radoslaw Majecki,Brest,0,0,0,0.0,0.0,0.0,10
Facundo Medina,Marseille,0,0,0,0.0,0.0,0.0,2
Lilian Brassier,Rennes,0,0,0,0.0,0.0,0.0,7
